Label	P	TP	FP	N	TN	FN	Sens	Spec	Acc	PPV
golgi	165	149	25	209	184	16	0.9030303030303031	0.8803827751196173	0.8903743315508021	0.8563218390804598
DNA_repl	133	129	22	241	219	4	0.9699248120300752	0.9087136929460581	0.93048128342246	0.8543046357615894
meiosis	30	17	4	344	340	13	0.5666666666666667	0.9883720930232558	0.9545454545454546	0.8095238095238095
stress	46	25	3	328	325	21	0.5434782608695652	0.9908536585365854	0.9358288770053476	0.8928571428571429
Total	374.0	320.0	54.0	1122.0	1068.0	54.0	0.8556149732620321	0.9518716577540107	0.9278074866310161	0.8556149732620321
